Dataset: IRELAND
Runs: 15 seeds
Checkpoint selection: lowest validation composite loss

**------ Seed 1/15 ------**
[26/100] Train loss: 0.151312, Val composite loss: 0.145271, Val MAE: 2.805595, Val RMSE: 3.751495
[27/100] Train loss: 0.151119, Val composite loss: 0.145940, Val MAE: 2.813630, Val RMSE: 3.761261
[28/100] Train loss: 0.150825, Val composite loss: 0.145275, Val MAE: 2.797063, Val RMSE: 3.741109
[29/100] Train loss: 0.150781, Val composite loss: 0.145420, Val MAE: 2.798449, Val RMSE: 3.759366
[30/100] Train loss: 0.150597, Val composite loss: 0.145391, Val MAE: 2.803270, Val RMSE: 3.756356
[31/100] Train loss: 0.150439, Val composite loss: 0.147820, Val MAE: 2.858332, Val RMSE: 3.781717
[32/100] Train loss: 0.149867, Val composite loss: 0.146128, Val MAE: 2.827779, Val RMSE: 3.752165
[33/100] Train loss: 0.149630, Val composite loss: 0.145042, Val MAE: 2.792944, Val RMSE: 3.752023
[34/100] Train loss: 0.149503, Val composite loss: 0.145100, Val MAE: 2.795006, Val RMSE: 3.739250
[35/100] Train loss: 0.149364, Val composite loss: 0.144975, Val MAE: 2.784696, Val RMSE: 3.748401
[36/100] Train loss: 0.149281, Val composite loss: 0.144496, Val MAE: 2.782595, Val RMSE: 3.723609
[37/100] Train loss: 0.149217, Val composite loss: 0.145126, Val MAE: 2.791167, Val RMSE: 3.740782
[38/100] Train loss: 0.149027, Val composite loss: 0.144875, Val MAE: 2.789110, Val RMSE: 3.730571
[39/100] Train loss: 0.148941, Val composite loss: 0.146561, Val MAE: 2.822771, Val RMSE: 3.753259
[40/100] Train loss: 0.148731, Val composite loss: 0.144902, Val MAE: 2.787990, Val RMSE: 3.734028
[41/100] Train loss: 0.148617, Val composite loss: 0.144547, Val MAE: 2.777208, Val RMSE: 3.734204
[42/100] Train loss: 0.147897, Val composite loss: 0.145529, Val MAE: 2.793477, Val RMSE: 3.761157
[43/100] Train loss: 0.147635, Val composite loss: 0.145226, Val MAE: 2.796274, Val RMSE: 3.733849
[44/100] Train loss: 0.147682, Val composite loss: 0.144900, Val MAE: 2.788493, Val RMSE: 3.735438
[45/100] Train loss: 0.147521, Val composite loss: 0.144886, Val MAE: 2.785347, Val RMSE: 3.743201
[46/100] Train loss: 0.147585, Val composite loss: 0.144765, Val MAE: 2.784943, Val RMSE: 3.731877
