Dataset: USA
Runs: 15 seeds
Checkpoint selection: lowest validation composite loss

**------ Seed 1/15 ------**
[46/100] Train loss: 0.133109, Val composite loss: 0.142106, Val MAE: 1.198239, Val RMSE: 1.655857
[47/100] Train loss: 0.132987, Val composite loss: 0.142168, Val MAE: 1.198644, Val RMSE: 1.659889
[48/100] Train loss: 0.132596, Val composite loss: 0.142052, Val MAE: 1.203781, Val RMSE: 1.651785
Selected epoch: 37
Test MAE: 1.255455
Test RMSE: 1.722335

**------ Seed 3/15 ------**
[1/100] Train loss: 0.166387, Val composite loss: 0.157664, Val MAE: 1.328976, Val RMSE: 1.844927
[2/100] Train loss: 0.148902, Val composite loss: 0.150533, Val MAE: 1.280921, Val RMSE: 1.749083
[3/100] Train loss: 0.144860, Val composite loss: 0.148388, Val MAE: 1.272205, Val RMSE: 1.719378
[4/100] Train loss: 0.143161, Val composite loss: 0.147234, Val MAE: 1.246497, Val RMSE: 1.712279
[5/100] Train loss: 0.141889, Val composite loss: 0.151699, Val MAE: 1.268097, Val RMSE: 1.784462
[6/100] Train loss: 0.141367, Val composite loss: 0.145394, Val MAE: 1.236453, Val RMSE: 1.687295
[7/100] Train loss: 0.140353, Val composite loss: 0.145431, Val MAE: 1.232992, Val RMSE: 1.690206
[8/100] Train loss: 0.139855, Val composite loss: 0.144690, Val MAE: 1.229490, Val RMSE: 1.679009
[9/100] Train loss: 0.139257, Val composite loss: 0.145047, Val MAE: 1.227295, Val RMSE: 1.689921
[10/100] Train loss: 0.139059, Val composite loss: 0.145155, Val MAE: 1.225735, Val RMSE: 1.695596
[11/100] Train loss: 0.138717, Val composite loss: 0.144850, Val MAE: 1.223331, Val RMSE: 1.684510
[12/100] Train loss: 0.138414, Val composite loss: 0.144146, Val MAE: 1.227177, Val RMSE: 1.670273
[13/100] Train loss: 0.138181, Val composite loss: 0.143694, Val MAE: 1.213146, Val RMSE: 1.675811
[14/100] Train loss: 0.137714, Val composite loss: 0.144365, Val MAE: 1.238842, Val RMSE: 1.665356
[15/100] Train loss: 0.137784, Val composite loss: 0.143600, Val MAE: 1.214364, Val RMSE: 1.668611
