Dataset: UK
Runs: 15 seeds
Checkpoint selection: lowest validation composite loss

**------ Seed 1/15 ------**
[51/100] Train loss: 0.162228, Val composite loss: 0.159593, Val MAE: 2.841465, Val RMSE: 3.749517
[52/100] Train loss: 0.162421, Val composite loss: 0.159860, Val MAE: 2.840055, Val RMSE: 3.765852
[53/100] Train loss: 0.162151, Val composite loss: 0.159612, Val MAE: 2.836048, Val RMSE: 3.756162
[54/100] Train loss: 0.161947, Val composite loss: 0.160369, Val MAE: 2.844458, Val RMSE: 3.785007
[55/100] Train loss: 0.161337, Val composite loss: 0.159379, Val MAE: 2.828470, Val RMSE: 3.757117
[56/100] Train loss: 0.161162, Val composite loss: 0.159527, Val MAE: 2.834345, Val RMSE: 3.759601
[57/100] Train loss: 0.161053, Val composite loss: 0.159642, Val MAE: 2.835524, Val RMSE: 3.759472
[58/100] Train loss: 0.160999, Val composite loss: 0.159480, Val MAE: 2.830548, Val RMSE: 3.759354
[59/100] Train loss: 0.160774, Val composite loss: 0.160438, Val MAE: 2.842806, Val RMSE: 3.791940
[60/100] Train loss: 0.160231, Val composite loss: 0.159855, Val MAE: 2.839799, Val RMSE: 3.760648
Selected epoch: 49
Test MAE: 3.028988
Test RMSE: 4.040521

**------ Seed 3/15 ------**
[1/100] Train loss: 0.216644, Val composite loss: 0.181273, Val MAE: 3.247786, Val RMSE: 4.201860
[2/100] Train loss: 0.188481, Val composite loss: 0.174451, Val MAE: 3.107366, Val RMSE: 4.137561
[3/100] Train loss: 0.180982, Val composite loss: 0.169427, Val MAE: 3.008436, Val RMSE: 3.993435
[4/100] Train loss: 0.179077, Val composite loss: 0.168848, Val MAE: 3.026653, Val RMSE: 3.926033
[5/100] Train loss: 0.176980, Val composite loss: 0.165797, Val MAE: 2.959021, Val RMSE: 3.881121
[6/100] Train loss: 0.175951, Val composite loss: 0.165615, Val MAE: 2.959528, Val RMSE: 3.875044
[7/100] Train loss: 0.174877, Val composite loss: 0.165563, Val MAE: 2.948857, Val RMSE: 3.893626
[8/100] Train loss: 0.174012, Val composite loss: 0.165219, Val MAE: 2.940667, Val RMSE: 3.883192
[9/100] Train loss: 0.173439, Val composite loss: 0.165175, Val MAE: 2.937391, Val RMSE: 3.889820
[10/100] Train loss: 0.172957, Val composite loss: 0.163174, Val MAE: 2.902998, Val RMSE: 3.836553
[11/100] Train loss: 0.172165, Val composite loss: 0.163429, Val MAE: 2.903128, Val RMSE: 3.845631
